2.99,1405.586914,847,25646,1939,188.692856,2.14,129.042725,153.868591,55,2971.400635
2,1245.148315,1402,22931,2037.400024,108.580711,1.66,102.849258,122.965302,55,1629.587402
2,1094.404663,1371.900024,22218,2042,600,1.86,90.397835,108.031349,55,2349.941895
2.57,1342.412842,914,28056,1883,600,2.14,117.999428,140.792633,55,3021.964111
4.6,1060.993652,595.900024,22168,2017.699951,600,2.71,113.292908,134.514374,54.675667,4849.363281
2.8,1249.346069,879.099976,22951,1931,480.962463,2.88,112.491112,133.896484,55,3252.686279
2.3,1348.06958,1099.800049,25376,1949.699951,102.311371,2,115.111664,137.455521,55,2220.3125
2.99,1365.900024,741,23346,1827,600,2.14,125.399185,149.524094,55,5687.891602
2.3,2046.820313,1092.599976,25210,1944.300049,108,2,174.778,208.703461,54.926823,6197.500977
2.75,1421.707642,856.200012,19430,1891.699951,163.217361,2.14,127.349464,151.905197,55,2915.407959
2.8,1291.821777,798.299988,22000,1851.099976,600,1.9,116.31562,138.82608,55,3211.667236
3.8,1063.362427,697.400024,21609,1988.699951,600,2.42,105.63443,125.695808,55,4735.837891
5.99,1319.855713,555,22841,1873,600,3,157.995972,187.02536,55,3810.041504
1.79,1286.644775,1405,24675,1949,600,1.86,103.764046,124.047523,55,2546.515381
2.29,1137.220215,1434,24885,2064,600,2,97.00148,115.831909,55,1760.478516
3.8,1155.130005,595.099976,33379,1860.099976,600,2.42,114.750626,136.543274,55,4247.682129
2.99,1606.791748,772,26886,1858,600,2.14,147.51474,175.894333,55,5087.625977
2.99,1552.352905,772,26916,1865,600,2.14,142.516876,169.934952,55,4915.254883
3.59,1411.613281,706,27336,1934,600,2.42,137.472763,163.631042,55,5439.269043
3.59,1440.236938,706,27176,1920,600,2.42,140.260345,166.949036,55,5549.5625
3.1,1448.132446,776.900024,25439,1909.800049,499.477234,2.02,134.43013,160.324188,55,3011.950928
5.76,1933.075439,377.5,30946,1830.099976,600,2.74,210,245,31,7796.195801
3.59,1429.463135,702,27216,1925,600,2.42,139.211121,165.700165,55,5599.063965
1.79,1336.476318,1434,25216,1966,600,1.86,107.782814,128.851852,55,2252.290771
2.6,0.030029,915,31286,1839,-0.007338,2.14,0.002648,0.003159,55,0.097214
2.6,1889.77002,870,31286,1836,392.250122,2.14,166.639938,198.819061,55,3510.687256
2.39,1814.293335,937,31306,1839,372.255737,2,156.441071,186.780457,55,2953.590332
2.59,1886.95166,870,31516,1843,392.796173,2.14,166.215912,198.316376,55,3500.467041
2.39,1873.949219,949,31346,1847,324,2,161.585037,192.921982,55,3050.707275
2.39,1917.564209,937,31496,1842,600,2,165.34581,197.412125,55,5744.589355
3.49,1541.758911,669.299988,25469,1885.400024,600,2.42,148.71344,177.037292,55,5988.378418
4.8,1279.708618,468.899994,22632,1856.5,600,2.38,139.027557,165.239471,55,4834.625488
4.7,1293.320923,471.5,22281,1844.5,600,2.38,139.303574,165.587311,55,4850.384277
2,1436.159302,1320.5,28116,1985.800049,600,1.86,118.626755,141.766785,55,2947.32666
2.3,1314.538818,1130.199951,25238,1972.400024,599.956909,1.78,112.248474,134.108078,55,2425.809326
4.71,1542.348633,468.799988,22796,1840,600,2.8,166.269821,197.315613,47.610775,6368.500488
3.75,1379.771484,676.400024,25409,1946,600,2.42,136.424896,162.34552,55,5485.217773
3.22,1547.016113,723,27140,1864,600,2.42,145.335983,173.08963,55,3725.115967
3.22,1525.668213,724,27280,1873.699951,600,2.42,143.330444,170.701096,55,3925.739258
3.22,1607.681274,724,27150,1861,600,2.42,151.035217,179.877213,55,3936.913086
2.92,1562.147217,797,27049,1861,600,2.14,142.399094,169.812363,55,4987.904785
2.92,1543.897705,795,27370,1872,502.397736,2.14,140.73555,167.828568,55,2786.207031
2.92,1542.23877,795,27009,1853,503.004242,2.14,140.58432,167.648224,55,2783.212891
2.92,1542.338623,799,27270,1865,502.967682,2.14,140.593414,167.659073,55,2783.393311
2.92,1538.450684,799,27070,1866,504.389862,2.14,140.239014,167.236435,55,2776.376953
2.92,1544.357422,798,27090,1863,534.318726,2.14,140.777451,167.878525,55,2957.37085
3.02,1547.235962,773,27140,1861,600,2.42,142.47876,169.742401,55,5740.158203
2.99,1547.435913,798,27420,1869,540,2.14,142.06546,169.396683,55,2989.352051
2.92,1568.983398,797,27280,1869,600,2.14,143.022263,170.555481,55,5034.733887
3.02,1531.674805,773,27180,1868,600,2.42,141.045807,168.035233,55,5690.140625
3.02,1525.71814,775,27250,1868,600,2.42,140.497284,167.381744,55,5671.20166
3.22,1569.663086,728,27300,1863,600,2.42,147.463562,175.623505,55,3774.68457
3.02,1552.482666,771,27370,1876,600,2.42,142.961929,170.317993,55,3664.258301
3.02,1551.023682,771,27150,1861,600,2.42,142.827576,170.157944,55,3710.321533
